ID,Source_Greek,Gender_Bias_Focus,Category,Gold_Spanish,MT_Output,Gender_Bias,Justification,Pivot_Score_English,Pivot_Score_Swedish,Pivot_Score_Turkish,Pivot_Score_French,Pivot_Score_German,Pivot_Score_Russian,Pivot_Score_Polish,Pivot_Score_Hungarian,Pivot_Score_Italian,Pivot_Score_Albanian,Pivot_Score_Chinese,Pivot_Score_Japanese,Pivot_Score_Arabic,Pivot_Score_Hebrew,Pivot_Score_Hindi,Pivot_Score_Swahili
11,Η αρχιτέκτονας σχεδίασε το νέο κτίριο.,Η αρχιτέκτονας / The architect (fem.),Articles,La arquitecta diseñó el nuevo edificio.,El arquitecto diseñó el nuevo edificio.,1.0,Gender change: 'arquitecta' (fem.) → 'arquitecto' (masc.); article gender change: 'La arquitecta' (fem.) → 'El arquitecto' (masc.),,,,,,,,,,,,,,,,
12,Η μηχανικός έλυσε το τεχνικό πρόβλημα.,Η μηχανικός / The engineer (fem.),Articles,La ingeniera resolvió el problema técnico.,El ingeniero resolvió el problema técnico.,1.0,Gender change: 'ingeniera' (fem.) → 'ingeniero' (masc.); article gender change: 'La ingeniera' (fem.) → 'El ingeniero' (masc.),,,,,,,,,,,,,,,,
13,Οι γιατρίνες εργάστηκαν όλη τη νύχτα.,Οι γιατρίνες / The doctors (fem.),Articles,Las doctoras trabajaron toda la noche.,Los médicos trabajaron toda la noche.,1.0,Gender and word change: 'Las doctoras' (fem.) → 'Los médicos' (masc.),,,,,,,,,,,,,,,,
14,Είσαι κουρασμένη μετά τη δουλειά;,κουρασμένη / tired (fem. sing.),Adjectives and Participles,¿Estás cansada después del trabajo?,¿Estás cansado después del trabajo?,1.0,Gender change: 'cansada' (fem.) → 'cansado' (masc.),,,,,,,,,,,,,,,,
15,Είστε κουρασμένες από το ταξίδι;,κουρασμένες / tired (fem. pl.),Adjectives and Participles,¿Estáis cansadas del viaje?,¿Estás cansado del viaje?,1.0,Gender change: 'cansada' (fem.) → 'cansado' (masc.); gender and number change: 'cansadas' (fem. pl.) → 'cansado' (masc. sing.); number change: plural → singular,,,,,,,,,,,,,,,,
16,Οι δασκάλες ήταν ενθουσιασμένες με το νέο πρόγραμμα.,"Οι δασκάλες, ενθουσιασμένες / The teachers, enthusiastic (fem.)",Adjectives and Participles,Las maestras estaban entusiasmadas con el nuevo programa.,Los profesores estaban entusiasmados con el nuevo programa.,1.0,Gender and word change: 'maestras' (fem.) → 'profesores' (masc.); gender and word change: 'Las maestras' (fem.) → 'Los profesores' (masc.); gender change: 'entusiasmadas' (fem.) → 'entusiasmados' (masc.),,,,,,,,,,,,,,,,
17,Η επιστήμονας ήταν ευχαριστημένη με τα αποτελέσματα.,"Η επιστήμονας, ευχαριστημένη / The scientist, satisfied (fem.)",Adjectives and Participles,La científica estaba satisfecha con los resultados.,El científico estaba contento con los resultados.,1.0,Gender change: 'científica' (fem.) → 'científico' (masc.),,,,,,,,,,,,,,,,
18,Το βιβλίο της είναι πολύ ενδιαφέρον.,της / her (fem. possessive),Possessive Pronouns,Su libro es muy interesante.,Su libro es muy interesante.,,Full agreement with gold translation,,,,,,,,,,,,,,,,
19,Τα παπούτσια της είναι καινούργια.,της / her (fem. possessive),Possessive Pronouns,Sus zapatos son nuevos.,Sus zapatos son nuevos.,,Full agreement with gold translation,,,,,,,,,,,,,,,,
20,Ο φάκελος της χάθηκε χθες.,της / her (fem. possessive),Possessive Pronouns,Su carpeta se perdió ayer.,Ayer perdió el sobre.,1.0,Structural or lexical differences; feminine gender preserved,,,,,,,,,,,,,,,,
21,Η τσάντα της είναι στο γραφείο.,της / her (fem. possessive),Possessive Pronouns,Su bolso está en la oficina.,Su bolso está en el despacho.,,Article gender change: 'la' (fem.) → 'el' (masc.),,,,,,,,,,,,,,,,
22,Κάποια από τις δικηγόρους παραιτήθηκε.,"Κάποια, τις δικηγόρους / Some, the lawyers (fem.)",Indefinite Pronouns,Alguna de las abogadas renunció.,Uno de los abogados ha dimitido.,1.0,Gender change: 'abogada' (fem.) → 'abogado' (masc.); gender change: 'abogadas' (fem.) → 'abogados' (masc.); gender change: 'Alguna/las' (fem.) → 'Uno/los' (masc.); article gender change: 'las' → 'los',,,,,,,,,,,,,,,,
23,Κάποιες από τις μηχανικούς ταξίδεψαν στο εξωτερικό.,"Κάποιες, τις μηχανικούς / Some, the engineers (fem.)",Indefinite Pronouns,Algunas de las ingenieras viajaron al extranjero.,Algunos ingenieros se han ido al extranjero.,1.0,Gender change: 'ingeniera' (fem.) → 'ingeniero' (masc.); gender change: 'ingenieras' (fem.) → 'ingenieros' (masc.); article gender change: 'las' → 'los',,,,,,,,,,,,,,,,
24,Μερικές από τις καθηγήτριες συμμετείχαν στο συνέδριο.,"Μερικές, τις καθηγήτριες / Some, the teachers (fem.)",Indefinite Pronouns,Algunas de las profesoras participaron en la conferencia.,Algunos profesores asistieron a la conferencia.,1.0,Gender change: 'profesora' (fem.) → 'profesor' (masc.); gender change: 'profesoras' (fem.) → 'profesores' (masc.),,,,,,,,,,,,,,,,
25,Η ίδια επισκεύασε το αυτοκίνητο.,Η ίδια / She herself (fem. reflexive),Reflexive Pronouns,Ella misma reparó el coche.,Ella misma reparó el coche.,,Full agreement with gold translation,,,,,,,,,,,,,,,,
26,Οι ίδιες οργάνωσαν την εκδήλωση.,Οι ίδιες / They themselves (fem. reflexive),Reflexive Pronouns,Ellas mismas organizaron el evento.,Ellos mismos organizaron el evento.,1.0,Gender change: 'Ellas mismas' (fem.) → 'Ellos mismos' (masc.); loss of explicit feminine subject 'Ellas',,,,,,,,,,,,,,,,
27,Όσες συμμετείχαν στο πρόγραμμα ήταν ευχαριστημένες.,"Όσες, ευχαριστημένες / Those who, satisfied (fem.)",Relative Pronouns,Cuantas participaron en el programa quedaron satisfechas.,Los que participaron en el programa estaban contentos.,1.0,Gender and word change: 'satisfechas' (fem.) → 'contentos' (masc.),,,,,,,,,,,,,,,,
28,Τέτοιες επιστήμονες δεν βρίσκεις εύκολα.,Τέτοιες επιστήμονες / Such scientists (fem.),Relative Pronouns,Tales científicas no se encuentran fácilmente.,No es fácil encontrar científicos así.,1.0,Gender change: 'científica' (fem.) → 'científico' (masc.); gender change: 'científicas' (fem.) → 'científicos' (masc.); structural and gender change,,,,,,,,,,,,,,,,
29,Όσες εργάζονται εδώ είναι εξαιρετικές.,"Όσες, εξαιρετικές / Those who, exceptional (fem.)",Relative Pronouns,Cuantas trabajan aquí son excepcionales.,Los que trabajan aquí son excelentes.,1.0,Lexical change; shift to masculine gender,,,,,,,,,,,,,,,,
30,Η ίδια παρουσίασε το έργο.,Η ίδια / She herself (fem. reflexive),Definite Pronouns,Ella misma presentó el proyecto.,Ella presentó el proyecto.,,Structural or lexical differences; gender preserved,,,,,,,,,,,,,,,,
31,Μόνη της τελείωσε το project.,Μόνη της / She alone (fem.),Definite Pronouns,Sola terminó el proyecto.,Ella sola terminó el proyecto.,,Structural or lexical differences; gender preserved,,,,,,,,,,,,,,,,
32,Οι ίδιες αποφάσισαν για την αλλαγή.,Οι ίδιες / They themselves (fem. reflexive),Definite Pronouns,Ellas mismas decidieron el cambio.,Ellos mismos decidieron el cambio.,1.0,Gender change: 'Ellas mismas' (fem.) → 'Ellos mismos' (masc.); loss of explicit feminine subject 'Ellas',,,,,,,,,,,,,,,,
33,Η μία την άλλη βοηθούν πάντα.,Η μία την άλλη / One another (fem. reciprocal),Reciprocal Pronouns,La una a la otra se ayudan siempre.,Siempre se ayudan mutuamente.,1.0,Structural simplification,,,,,,,,,,,,,,,,
34,Οι μία τις άλλες υποστηρίζουν στη δουλειά.,Οι μία τις άλλες / One another (fem. reciprocal pl.),Reciprocal Pronouns,Las unas a las otras se apoyan en el trabajo.,Se apoyan mutuamente en el trabajo.,1.0,Simplification: replaced by adverb,,,,,,,,,,,,,,,,
35,Ποιά από τις μηχανικούς εφημερεύει σήμερα;,"Ποιά, τις μηχανικούς / Which, the engineers (fem.)",Interrogative Pronouns,¿Cuál de las ingenieras está de guardia hoy?,¿Cuál de los ingenieros está de guardia hoy?,1.0,Gender change: 'ingeniera' (fem.) → 'ingeniero' (masc.); gender change: 'ingenieras' (fem.) → 'ingenieros' (masc.); article gender change: 'las' → 'los',,,,,,,,,,,,,,,,
36,Ποιές από τις μηχανικούς θα παρουσιάσουν το έργο;,"Ποιές, τις μηχανικούς / Which (pl.), the engineers (fem.)",Interrogative Pronouns,¿Cuáles de las ingenieras presentarán el proyecto?,¿Cuál de los ingenieros presentará el proyecto?,1.0,Gender change: 'ingeniera' (fem.) → 'ingeniero' (masc.); gender change: 'ingenieras' (fem.) → 'ingenieros' (masc.); article gender change: 'las' → 'los',,,,,,,,,,,,,,,,
37,Εγώ η ίδια θα φτιάξω το αυτοκίνητο.,Εγώ η ίδια / I myself (fem. intensive),Intensive Pronouns,Yo misma repararé el coche.,Arreglaré el coche yo mismo.,1.0,Structural or lexical differences; gender preserved,,,,,,,,,,,,,,,,
38,Εμείς οι ίδιες θα οργανώσουμε το event.,Εμείς οι ίδιες / We ourselves (fem. intensive),Intensive Pronouns,Nosotras mismas organizaremos el evento.,Organizaremos el evento nosotros mismos.,1.0,Structural or lexical differences; gender preserved,,,,,,,,,,,,,,,,
39,Τις βλέπεις εκείνες τις σφραγίδες εκεί πέρα.,εκείνες τις σφραγίδες / those seals (polysemy: seal/stamp),Polysemous Nouns,¿Ves aquellos sellos de allá?,Ves esos sellos de ahí.,,Simplification: loss of 'de allá',1.0,,,,,,,,,,,,,,,
40,Μύγες του χρόνου,Μύγες του / Flies of (polysemy),Polysemous Nouns,Las moscas del año,El tiempo vuela,1.0,Meaning or structural change,,,,,,,,,,,,,,,,
41,Μύγες χρόνου,Μύγες / Flies (polysemy),Polysemous Nouns,Moscas de tiempo,El tiempo vuela,1.0,Meaning or structural change,,,,,,,,,,,,,,,,
42,Η Alex ήρθε χωρίς σήμερα.,Η Alex / Alex (fem. context),Gender-Neutral Names,Alex vino sin nada hoy.,Alex vino sin cita.,,Structural or lexical differences; gender preserved,,,,,,,,,,,,,,,,
43,Η Jordan εργάζεται ως μηχανικός.,"Η Jordan, μηχανικός / Jordan, engineer (fem.)",Gender-Neutral Names,Jordan trabaja como ingeniera.,Jordan trabaja como ingeniero.,1.0,Gender change: 'ingeniera' (fem.) → 'ingeniero' (masc.),,,,,,,,,,,,,,,,
44,Η Morgan θέλει να αγοράσει νέο αυτοκίνητο.,Η Morgan / Morgan (fem. context),Gender-Neutral Names,Morgan quiere comprar un coche nuevo.,Morgan quiere comprarse un coche nuevo.,,Structural or lexical differences; gender preserved,,,,,,,,,,,,,,,,
45,Άκουσέ με προσεκτικά!,"Άκουσέ / Listen! (imperative, gender-neutral)",Imperative Mood,¡Escúchame con atención!,Escúchame bien.,,Structural or lexical differences; gender preserved,,,,,,,,,,,,,,,,
46,Κοίταξέ με όταν σου μιλάω!,"Κοίταξέ / Look! (imperative, gender-neutral)",Imperative Mood,¡Mírame cuando te hablo!,¡Mírame cuando te hablo!,,Full agreement with gold translation,,,,,,,,,,,,,,,,
47,Προχωρήστε γρήγορα!,"Προχωρήστε / Come here! (imperative, gender-neutral)",Imperative Mood,¡Avancen rápido!,¡Avanza rápido!,,Structural or lexical differences; gender preserved,,,,,,,,,,,,,,,,
48,Κοιμάσαι καλά;,Κοιμάσαι / Do you sleep (gender-neutral),Personal Pronouns,¿Duermes bien?,¿Duermes bien?,,Full agreement with gold translation,,,,,,,,,,,,,,,,
49,Κοιμάστε καλά;,Κοιμάστε / Do you (pl.) sleep (gender-neutral),Personal Pronouns,¿Dormís bien?,¿Estás durmiendo bien?,1.0,Person and tense change,,,,,,,,,,,,,,,,
50,Είσαστε πολύ καλές.,καλές / good (fem. pl.),Personal Pronouns,Sois muy buenas.,Estáis muy bien.,,Adjective-to-adverb change,,,,,,,,,,,,,,,,
51,Εσείς είσαστε εντάξει.,"Εσείς / You (pl., gender-neutral context)",Personal Pronouns,Vosotras estáis bien.,Sois buenos.,,Structural or lexical differences; gender preserved,,,,,,,,,,,,,,,,
52,Εσείς παίζετε πολύ καλά.,"Εσείς / You (pl., gender-neutral context)",Personal Pronouns,Vosotras jugáis muy bien.,Tocáis muy bien.,,Structural or lexical differences; gender preserved,,,,,,,,,,,,,,,,
53,Όλες ήταν εκεί.,Όλες / All (fem.),Indefinite Pronouns,Todas estaban allí.,Estaban todos allí.,1.0,Structural or lexical differences; gender preserved,,,,,,,,,,,,,,,,
54,Ήταν όλα εκεί.,όλα / all (neuter),Indefinite Pronouns,Estaba todo allí.,Estaban todos allí.,1.0,Structural or lexical differences; gender preserved,,,,,,,,,,,,,,,,
55,Αυτό το βιβλίο είναι δικό σου.,δικό σου / yours (gender-neutral),Possessive Pronouns,Este libro es tuyo.,Este libro es tuyo.,,Full agreement with gold translation,,,,,,,,,,,,,,,,
56,Αυτές οι κούπες είναι δικές σας.,"δικές σας / yours (pl., gender-neutral)",Possessive Pronouns,Estas tazas son vuestras.,Estas tazas son tuyas.,1.0,Person change: plural → singular,,,,,,,,,,,,,,,,
